#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0         0.000000         495.7237         512.55366501      -36749.88645565        1353.38866082
         1         0.269787         495.3744         512.19252495      -36749.88470986        1350.59049759
         2         0.539724         494.9291         511.73209321      -36749.75850802        1349.33355454
         3         0.809831         494.3500         511.13341961      -36749.51369136        1348.89753618
         4         1.080184         493.6593         510.41918588      -36749.15678181        1349.19917391
         5         1.350866         492.8645         509.59743063      -36748.69451084        1350.62263659
         6         1.621962         491.9700         508.67255102      -36748.14077278        1353.42051584
         7         1.893547         491.0064         507.67621093      -36747.52063207        1357.53512788
         8         2.165696         490.0040         506.63983155      -36746.86002227        1362.85644365
         9         2.438466         488.9833         505.58451727      -36746.18594371        1368.73845945
        10         2.711889         487.9710         504.53775333      -36745.52823673        1374.51267546
        11         2.985965         487.0292         503.56405335      -36744.92294066        1379.30331247
        12         3.260691         486.1922         502.69860243      -36744.40691225        1381.95418462
        13         3.536038         485.4794         501.96157078      -36744.01239651        1381.54303078
        14         3.811942         484.9098         501.37263050      -36743.76168998        1377.54493373
        15         4.088317         484.4680         500.91583029      -36743.66408859        1370.08730348
        16         4.365065         484.1401         500.57682629      -36743.71526908        1360.38323373
        17         4.642059         483.9209         500.35020868      -36743.88470909        1349.15380096
        18         4.919179         483.7681         500.19217035      -36744.10057880        1338.00407169
        19         5.196366         483.5914         500.00952558      -36744.28431534        1326.98265015
        20         5.473614         483.3262         499.73531941      -36744.38510963        1315.15946975
        21         5.750946         482.9983         499.39628144      -36744.40765812        1300.92472894
        22         6.028392         482.6371         499.02277263      -36744.39233583        1285.39541227
        23         6.305998         482.2527         498.62533471      -36744.36741894        1269.69280539
        24         6.583787         481.8212         498.17919701      -36744.31488733        1254.95918663
        25         6.861768         481.3326         497.67406080      -36744.20367001        1242.88633567
        26         7.139973         480.7828         497.10555713      -36744.02273858        1234.20289808
        27         7.418441         480.1694         496.47138216      -36743.78688416        1228.92319018
        28         7.697219         479.5219         495.80184432      -36743.51183872        1227.24044224
        29         7.976351         478.8221         495.07827706      -36743.19689794        1228.90614298
        30         8.255855         478.0611         494.29148375      -36742.82935447        1233.59426279
