           3             3             3
 i j k T_e S_e rho_e C_e K_e flag T_dyn_flag
          30
     1     1     1 0.299969E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     1 0.299954E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     1 0.300436E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     1 0.300957E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     1 0.300869E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     1 0.302151E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     1 0.300210E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     1 0.300240E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     1 0.301026E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     2 0.300430E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     2 0.300032E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     2 0.301354E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     2 0.302035E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     2 0.302287E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     2 0.308927E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     2 0.300390E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     2 0.301400E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     2 0.302146E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     3 0.300373E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     3 0.300499E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     3 0.300549E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     3 0.301144E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     3 0.300913E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     3 0.302019E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     3 0.300632E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     3 0.300329E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     3 0.301291E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
