#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0         0.000000       43964.0859       45456.68310944      -36749.88645565      294661.84546454
         1         0.033352       43957.8016       45450.18548353      -36749.83331949      294621.15066961
         2         0.066704       43951.0576       45443.21249763      -36749.38450875      294583.54075346
         3         0.100056       43943.9089       45435.82117022      -36748.55005108      294549.26362611
         4         0.133408       43936.4457       45428.10454558      -36747.35376708      294518.56250512
         5         0.166760       43928.6416       45420.03545125      -36745.82775318      294490.80745280
         6         0.200114       43920.5407       45411.65954050      -36744.01726833      294467.06433699
         7         0.233467       43912.3759       45403.21753018      -36741.98658733      294448.77651766
         8         0.266822       43904.1304       45394.69218845      -36739.80277419      294435.60156895
         9         0.300177       43895.8006       45386.07958218      -36737.52753207      294424.87110318
        10         0.333533       43887.4448       45377.44001500      -36735.23359578      294414.13785345
        11         0.366890       43879.1076       45368.81979012      -36733.01571153      294400.13185271
        12         0.400248       43870.9694       45360.40532158      -36730.99284889      294380.88274424
        13         0.433606       43863.2395       45352.41300753      -36729.29082884      294354.55701944
        14         0.466965       43855.9378       45344.86332859      -36728.01315831      294319.30190407
        15         0.500325       43849.0763       45337.76897749      -36727.21602292      294274.76394761
        16         0.533685       43842.6222       45331.09566417      -36726.89502722      294222.28284685
        17         0.567045       43836.5337       45324.80045833      -36726.98108921      294163.94476480
        18         0.600404       43830.7013       45318.77004823      -36727.32618075      294102.66977725
        19         0.633764       43824.9476       45312.82106596      -36727.74922375      294039.74692929
        20         0.667123       43819.1474       45306.82395252      -36728.11993356      293974.81285894
        21         0.700482       43813.2533       45300.72971701      -36728.40857435      293905.05460352
        22         0.733842       43807.3086       45294.58319672      -36728.66267846      293831.95834569
        23         0.767200       43801.3013       45288.37193843      -36728.92060737      293759.47906050
        24         0.800559       43795.2444       45282.10942039      -36729.15085776      293689.83347861
        25         0.833918       43789.1193       45275.77637583      -36729.27989620      293624.78162733
        26         0.867277       43782.8005       45269.24302635      -36729.25570677      293565.51234456
        27         0.900636       43776.2946       45262.51625532      -36729.06982899      293514.71390460
        28         0.933996       43769.6514       45255.64756671      -36728.72588242      293473.92608639
        29         0.967355       43762.8948       45248.66148542      -36728.21179814      293443.66910736
        30         1.000715       43755.9401       45241.47073572      -36727.49525086      293423.17191355
