#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0         0.000000         302.3334         312.59769671      -36749.88645565          48.46236196
         1         1.000000         302.4910         312.76068333      -36750.04205443          43.44198913
         2         2.000000         302.6500         312.92505479      -36750.17695328          37.99496000
         3         3.000000         302.7649         313.04389253      -36750.28797137          32.06482905
         4         4.000000         302.8233         313.10425708      -36750.36004384          25.65747229
         5         5.000000         302.7827         313.06231077      -36750.38739005          18.69139737
         6         6.000000         302.6752         312.95109753      -36750.36887016          11.77310280
         7         7.000000         302.5782         312.85082151      -36750.30020460           5.57281827
         8         8.000000         302.4434         312.71144330      -36750.17667249          -0.14467276
         9         9.000000         302.2620         312.52393023      -36749.99453834          -5.08360058
        10        10.000000         302.0390         312.29332577      -36749.75257645          -9.23538739
        11        11.000000         301.7518         311.99639812      -36749.45186606         -12.84124972
        12        12.000000         301.4520         311.68645615      -36749.10372895         -15.54038117
        13        13.000000         301.1033         311.32588429      -36748.71494899         -17.73630396
        14        14.000000         300.7176         310.92710981      -36748.29815773         -19.44233535
        15        15.000000         300.3367         310.53320119      -36747.86177734         -20.57234553
        16        16.000000         299.9426         310.12576721      -36747.41653916         -21.38328301
        17        17.000000         299.5068         309.67513648      -36746.97164144         -22.30359208
        18        18.000000         299.0984         309.25286167      -36746.54211845         -22.81983659
        19        19.000000         298.7564         308.89924542      -36746.13738842         -22.88432773
        20        20.000000         298.4404         308.57252043      -36745.76622302         -23.26816133
        21        21.000000         298.1541         308.27655344      -36745.44334982         -24.05766599
        22        22.000000         297.9034         308.01738035      -36745.16987318         -24.94986348
        23        23.000000         297.7194         307.82706722      -36744.95847391         -26.25068008
        24        24.000000         297.5772         307.68010302      -36744.80054131         -27.75137261
        25        25.000000         297.4530         307.55159763      -36744.71020326         -29.92150301
        26        26.000000         297.4132         307.51048607      -36744.68184859         -31.94664599
        27        27.000000         297.4855         307.58521510      -36744.70619242         -33.34144069
        28        28.000000         297.5874         307.69055789      -36744.78546313         -35.06514745
        29        29.000000         297.7484         307.85703178      -36744.91671683         -36.87449986
        30        30.000000         297.9751         308.09145739      -36745.09391846         -38.61862936
