           3             3             3
 i j k T_e S_e rho_e C_e K_e flag T_dyn_flag
          30
     1     1     1 0.297704E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     1 0.297435E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     1 0.297780E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     1 0.297529E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     1 0.296496E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     1 0.297666E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     1 0.297369E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     1 0.297057E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     1 0.297800E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     2 0.297809E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     2 0.297986E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     2 0.298185E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     2 0.297376E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     2 0.296751E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     2 0.297358E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     2 0.297830E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     2 0.298162E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     2 0.298422E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     3 0.297551E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     3 0.296941E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     3 0.297325E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     3 0.297310E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     3 0.296740E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     3 0.297097E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     3 0.297367E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     3 0.296888E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     3 0.297555E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
