           3             3             3
 i j k T_e S_e rho_e C_e K_e flag T_dyn_flag
          30
     1     1     1 0.300358E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     1 0.300465E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     1 0.300867E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     1 0.300599E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     1 0.299911E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     1 0.302468E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     1 0.300453E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     1 0.300803E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     1 0.300991E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     2 0.299915E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     2 0.300442E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     2 0.302511E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     2 0.302020E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     2 0.301330E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     2 0.316412E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     2 0.301067E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     2 0.300539E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     2 0.303146E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     3 0.300510E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     3 0.300185E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     3 0.300657E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     3 0.300558E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     3 0.299999E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     3 0.302208E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     3 0.300473E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     3 0.300010E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     3 0.300860E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
